Row ID	From country	To country	Jury Points	Televote Points
1	Albania	Belgium	0	0
2	Albania	Czech Republic	0	0
3	Albania	The Netherlands	0	0
4	Albania	Azerbaijan	0	0
5	Albania	Hungary	1	1
6	Albania	Italy	8	10
7	Albania	Israel	3	0
8	Albania	Bulgaria	4	8
9	Albania	Sweden	0	3
10	Albania	Germany	0	0
11	Albania	France	10	0
12	Albania	Poland	0	5
13	Albania	Australia	12	12
14	Albania	Cyprus	0	0
15	Albania	Serbia	0	0
16	Albania	Lithuania	0	4
17	Albania	Croatia	0	0
18	Albania	Russia	7	7
19	Albania	Spain	6	0
20	Albania	Latvia	0	0
21	Albania	Ukraine	0	6
22	Albania	Malta	2	0
23	Albania	Georgia	0	0
24	Albania	Austria	0	0
25	Albania	United Kingdom	5	0
26	Albania	Armenia	0	2
27	Armenia	Belgium	4	0
28	Armenia	Czech Republic	1	0
29	Armenia	The Netherlands	0	0
30	Armenia	Azerbaijan	0	0
31	Armenia	Hungary	0	3
32	Armenia	Italy	0	0
33	Armenia	Israel	0	0
34	Armenia	Bulgaria	7	0
35	Armenia	Sweden	0	2
36	Armenia	Germany	0	0
37	Armenia	France	12	7
38	Armenia	Poland	0	1
39	Armenia	Australia	5	0
40	Armenia	Cyprus	6	6
41	Armenia	Serbia	0	0
42	Armenia	Lithuania	0	0
43	Armenia	Croatia	0	0
44	Armenia	Russia	2	12
45	Armenia	Spain	3	0
46	Armenia	Latvia	0	0
47	Armenia	Ukraine	0	10
48	Armenia	Malta	8	5
49	Armenia	Georgia	10	8
50	Armenia	Austria	0	4
51	Armenia	United Kingdom	0	0
52	Australia	Belgium	12	12
53	Australia	Czech Republic	0	0
54	Australia	The Netherlands	3	0
55	Australia	Azerbaijan	0	0
56	Australia	Hungary	0	0
57	Australia	Italy	0	0
58	Australia	Israel	10	0
59	Australia	Bulgaria	8	10
60	Australia	Sweden	0	0
61	Australia	Germany	0	0
62	Australia	France	6	7
63	Australia	Poland	0	0
64	Australia	Cyprus	0	0
65	Australia	Serbia	0	0
66	Australia	Lithuania	7	1
67	Australia	Croatia	1	0
68	Australia	Russia	0	5
69	Australia	Spain	5	2
70	Australia	Latvia	0	0
71	Australia	Ukraine	2	8
72	Australia	Malta	0	6
73	Australia	Georgia	0	0
74	Australia	Austria	0	3
75	Australia	United Kingdom	4	4
76	Australia	Armenia	0	0
77	Austria	Belgium	5	0
78	Austria	Czech Republic	4	0
79	Austria	The Netherlands	0	6
80	Austria	Azerbaijan	0	0
81	Austria	Hungary	0	0
82	Austria	Italy	0	0
83	Austria	Israel	0	0
84	Austria	Bulgaria	0	5
85	Austria	Sweden	8	7
86	Austria	Germany	0	2
87	Austria	France	7	1
88	Austria	Poland	0	12
89	Austria	Australia	12	3
90	Austria	Cyprus	0	0
91	Austria	Serbia	0	4
92	Austria	Lithuania	1	0
93	Austria	Croatia	6	0
94	Austria	Russia	3	8
95	Austria	Spain	0	0
96	Austria	Latvia	0	0
97	Austria	Ukraine	0	10
98	Austria	Malta	10	0
99	Austria	Georgia	0	0
100	Austria	United Kingdom	0	0
101	Austria	Armenia	2	0
102	Azerbaijan	Belgium	0	0
103	Azerbaijan	Czech Republic	0	0
104	Azerbaijan	The Netherlands	0	0
105	Azerbaijan	Hungary	4	7
106	Azerbaijan	Italy	0	0
107	Azerbaijan	Israel	3	6
108	Azerbaijan	Bulgaria	8	8
109	Azerbaijan	Sweden	0	0
110	Azerbaijan	Germany	0	0
111	Azerbaijan	France	0	4
112	Azerbaijan	Poland	2	3
113	Azerbaijan	Australia	7	2
114	Azerbaijan	Cyprus	0	0
115	Azerbaijan	Serbia	0	0
116	Azerbaijan	Lithuania	5	0
117	Azerbaijan	Croatia	0	0
118	Azerbaijan	Russia	12	12
119	Azerbaijan	Spain	1	0
120	Azerbaijan	Latvia	0	0
121	Azerbaijan	Ukraine	10	10
122	Azerbaijan	Malta	6	5
123	Azerbaijan	Georgia	0	1
124	Azerbaijan	Austria	0	0
125	Azerbaijan	United Kingdom	0	0
126	Azerbaijan	Armenia	0	0
127	Belarus	Belgium	4	0
128	Belarus	Czech Republic	0	0
129	Belarus	The Netherlands	0	0
130	Belarus	Azerbaijan	2	8
131	Belarus	Hungary	0	3
132	Belarus	Italy	0	0
133	Belarus	Israel	0	0
134	Belarus	Bulgaria	1	4
135	Belarus	Sweden	8	2
136	Belarus	Germany	0	0
137	Belarus	France	0	0
138	Belarus	Poland	0	6
139	Belarus	Australia	6	1
140	Belarus	Cyprus	0	0
141	Belarus	Serbia	0	0
142	Belarus	Lithuania	10	0
143	Belarus	Croatia	0	0
144	Belarus	Russia	12	12
145	Belarus	Spain	0	0
146	Belarus	Latvia	0	5
147	Belarus	Ukraine	7	10
148	Belarus	Malta	5	0
149	Belarus	Georgia	0	0
150	Belarus	Austria	0	0
151	Belarus	United Kingdom	0	0
152	Belarus	Armenia	3	7
153	Belgium	Czech Republic	1	0
154	Belgium	The Netherlands	4	10
155	Belgium	Azerbaijan	0	0
156	Belgium	Hungary	0	0
157	Belgium	Italy	10	0
158	Belgium	Israel	2	0
159	Belgium	Bulgaria	6	5
160	Belgium	Sweden	0	1
161	Belgium	Germany	0	0
162	Belgium	France	8	8
163	Belgium	Poland	0	12
164	Belgium	Australia	12	4
165	Belgium	Cyprus	0	0
166	Belgium	Serbia	0	0
167	Belgium	Lithuania	0	0
168	Belgium	Croatia	0	0
169	Belgium	Russia	0	6
170	Belgium	Spain	0	0
171	Belgium	Latvia	0	0
172	Belgium	Ukraine	3	2
173	Belgium	Malta	0	0
174	Belgium	Georgia	7	0
175	Belgium	Austria	5	3
176	Belgium	United Kingdom	0	0
177	Belgium	Armenia	0	7
178	Bosnia & Herzegovina	Belgium	0	0
179	Bosnia & Herzegovina	Czech Republic	6	0
180	Bosnia & Herzegovina	The Netherlands	0	0
181	Bosnia & Herzegovina	Azerbaijan	1	8
182	Bosnia & Herzegovina	Hungary	0	1
183	Bosnia & Herzegovina	Italy	0	0
184	Bosnia & Herzegovina	Israel	0	0
185	Bosnia & Herzegovina	Bulgaria	3	2
186	Bosnia & Herzegovina	Sweden	0	0
187	Bosnia & Herzegovina	Germany	0	0
188	Bosnia & Herzegovina	France	7	4
189	Bosnia & Herzegovina	Poland	0	0
190	Bosnia & Herzegovina	Australia	10	3
191	Bosnia & Herzegovina	Cyprus	0	0
192	Bosnia & Herzegovina	Serbia	8	12
193	Bosnia & Herzegovina	Lithuania	0	0
194	Bosnia & Herzegovina	Croatia	4	10
195	Bosnia & Herzegovina	Russia	5	6
196	Bosnia & Herzegovina	Spain	0	0
197	Bosnia & Herzegovina	Latvia	0	0
198	Bosnia & Herzegovina	Ukraine	12	7
199	Bosnia & Herzegovina	Malta	0	0
200	Bosnia & Herzegovina	Georgia	0	0
201	Bosnia & Herzegovina	Austria	0	5
202	Bosnia & Herzegovina	United Kingdom	0	0
203	Bosnia & Herzegovina	Armenia	2	0
204	Bulgaria	Belgium	10	0
205	Bulgaria	Czech Republic	0	0
206	Bulgaria	The Netherlands	2	0
207	Bulgaria	Azerbaijan	0	1
208	Bulgaria	Hungary	0	0
209	Bulgaria	Italy	0	0
210	Bulgaria	Israel	0	2
211	Bulgaria	Sweden	0	3
212	Bulgaria	Germany	0	0
213	Bulgaria	France	0	0
214	Bulgaria	Poland	0	6
215	Bulgaria	Australia	8	5
216	Bulgaria	Cyprus	0	7
217	Bulgaria	Serbia	5	0
218	Bulgaria	Lithuania	1	0
219	Bulgaria	Croatia	0	0
220	Bulgaria	Russia	6	12
221	Bulgaria	Spain	4	0
222	Bulgaria	Latvia	0	0
223	Bulgaria	Ukraine	0	10
224	Bulgaria	Malta	7	0
225	Bulgaria	Georgia	3	0
226	Bulgaria	Austria	0	4
227	Bulgaria	United Kingdom	0	0
228	Bulgaria	Armenia	12	8
229	Croatia	Belgium	0	0
230	Croatia	Czech Republic	10	0
231	Croatia	The Netherlands	0	0
232	Croatia	Azerbaijan	0	0
233	Croatia	Hungary	5	3
234	Croatia	Italy	3	0
235	Croatia	Israel	7	0
236	Croatia	Bulgaria	0	1
237	Croatia	Sweden	0	7
238	Croatia	Germany	0	0
239	Croatia	France	8	2
240	Croatia	Poland	0	4
241	Croatia	Australia	12	5
242	Croatia	Cyprus	1	0
243	Croatia	Serbia	2	12
244	Croatia	Lithuania	0	0
245	Croatia	Russia	6	8
246	Croatia	Spain	0	0
247	Croatia	Latvia	0	0
248	Croatia	Ukraine	0	10
249	Croatia	Malta	0	0
250	Croatia	Georgia	0	0
251	Croatia	Austria	0	6
252	Croatia	United Kingdom	0	0
253	Croatia	Armenia	4	0
254	Cyprus	Belgium	0	0
255	Cyprus	Czech Republic	0	0
256	Cyprus	The Netherlands	0	0
257	Cyprus	Azerbaijan	2	0
258	Cyprus	Hungary	4	4
259	Cyprus	Italy	3	0
260	Cyprus	Israel	5	0
261	Cyprus	Bulgaria	0	12
262	Cyprus	Sweden	0	1
263	Cyprus	Germany	0	0
264	Cyprus	France	7	6
265	Cyprus	Poland	0	2
266	Cyprus	Australia	10	5
267	Cyprus	Serbia	0	0
268	Cyprus	Lithuania	0	3
269	Cyprus	Croatia	1	0
270	Cyprus	Russia	12	10
271	Cyprus	Spain	0	0
272	Cyprus	Latvia	0	0
273	Cyprus	Ukraine	0	7
274	Cyprus	Malta	6	0
275	Cyprus	Georgia	0	0
276	Cyprus	Austria	0	0
277	Cyprus	United Kingdom	0	0
278	Cyprus	Armenia	8	8
279	Czech Republic	Belgium	2	0
280	Czech Republic	The Netherlands	7	0
281	Czech Republic	Azerbaijan	0	6
282	Czech Republic	Hungary	10	3
283	Czech Republic	Italy	0	0
284	Czech Republic	Israel	0	0
285	Czech Republic	Bulgaria	0	5
286	Czech Republic	Sweden	12	2
287	Czech Republic	Germany	0	0
288	Czech Republic	France	5	0
289	Czech Republic	Poland	0	7
290	Czech Republic	Australia	0	1
291	Czech Republic	Cyprus	0	0
292	Czech Republic	Serbia	0	0
293	Czech Republic	Lithuania	3	0
294	Czech Republic	Croatia	8	0
295	Czech Republic	Russia	0	10
296	Czech Republic	Spain	0	0
297	Czech Republic	Latvia	1	0
298	Czech Republic	Ukraine	0	12
299	Czech Republic	Malta	6	0
300	Czech Republic	Georgia	0	0
301	Czech Republic	Austria	0	4
302	Czech Republic	United Kingdom	4	0
303	Czech Republic	Armenia	0	8
304	Denmark	Belgium	8	8
305	Denmark	Czech Republic	0	0
306	Denmark	The Netherlands	7	7
307	Denmark	Azerbaijan	0	0
308	Denmark	Hungary	0	0
309	Denmark	Italy	0	0
310	Denmark	Israel	2	0
311	Denmark	Bulgaria	6	0
312	Denmark	Sweden	4	12
313	Denmark	Germany	0	0
314	Denmark	France	0	2
315	Denmark	Poland	0	5
316	Denmark	Australia	10	10
317	Denmark	Cyprus	0	0
318	Denmark	Serbia	0	0
319	Denmark	Lithuania	5	6
320	Denmark	Croatia	0	0
321	Denmark	Russia	0	4
322	Denmark	Spain	1	0
323	Denmark	Latvia	0	0
324	Denmark	Ukraine	12	3
325	Denmark	Malta	0	0
326	Denmark	Georgia	0	0
327	Denmark	Austria	0	1
328	Denmark	United Kingdom	3	0
329	Denmark	Armenia	0	0
330	Estonia	Belgium	0	0
331	Estonia	Czech Republic	0	0
332	Estonia	The Netherlands	6	0
333	Estonia	Azerbaijan	0	0
334	Estonia	Hungary	0	0
335	Estonia	Italy	0	0
336	Estonia	Israel	0	0
337	Estonia	Bulgaria	0	0
338	Estonia	Sweden	12	10
339	Estonia	Germany	0	0
340	Estonia	France	1	2
341	Estonia	Poland	0	1
342	Estonia	Australia	10	4
343	Estonia	Cyprus	4	3
344	Estonia	Serbia	0	0
345	Estonia	Lithuania	5	5
346	Estonia	Croatia	0	0
347	Estonia	Russia	0	12
348	Estonia	Spain	0	0
349	Estonia	Latvia	8	7
350	Estonia	Ukraine	7	8
351	Estonia	Malta	2	0
352	Estonia	Georgia	0	0
353	Estonia	Austria	0	6
354	Estonia	United Kingdom	3	0
355	Estonia	Armenia	0	0
356	F.Y.R. Macedonia	Belgium	4	4
357	F.Y.R. Macedonia	Czech Republic	0	0
358	F.Y.R. Macedonia	The Netherlands	2	0
359	F.Y.R. Macedonia	Azerbaijan	1	0
360	F.Y.R. Macedonia	Hungary	0	0
361	F.Y.R. Macedonia	Italy	0	1
362	F.Y.R. Macedonia	Israel	5	0
363	F.Y.R. Macedonia	Bulgaria	10	10
364	F.Y.R. Macedonia	Sweden	0	0
365	F.Y.R. Macedonia	Germany	0	0
366	F.Y.R. Macedonia	France	0	0
367	F.Y.R. Macedonia	Poland	0	2
368	F.Y.R. Macedonia	Australia	8	3
369	F.Y.R. Macedonia	Cyprus	0	0
370	F.Y.R. Macedonia	Serbia	7	12
371	F.Y.R. Macedonia	Lithuania	0	0
372	F.Y.R. Macedonia	Croatia	6	5
373	F.Y.R. Macedonia	Russia	0	8
374	F.Y.R. Macedonia	Spain	0	0
375	F.Y.R. Macedonia	Latvia	3	0
376	F.Y.R. Macedonia	Ukraine	12	6
377	F.Y.R. Macedonia	Malta	0	0
378	F.Y.R. Macedonia	Georgia	0	0
379	F.Y.R. Macedonia	Austria	0	0
380	F.Y.R. Macedonia	United Kingdom	0	0
381	F.Y.R. Macedonia	Armenia	0	7
382	Finland	Belgium	0	0
383	Finland	Czech Republic	3	0
384	Finland	The Netherlands	10	0
385	Finland	Azerbaijan	0	0
386	Finland	Hungary	0	0
387	Finland	Italy	2	0
388	Finland	Israel	7	0
389	Finland	Bulgaria	0	4
390	Finland	Sweden	12	10
391	Finland	Germany	0	0
392	Finland	France	1	3
393	Finland	Poland	0	5
394	Finland	Australia	8	7
395	Finland	Cyprus	0	1
396	Finland	Serbia	0	0
397	Finland	Lithuania	6	0
398	Finland	Croatia	0	0
399	Finland	Russia	0	8
400	Finland	Spain	0	0
401	Finland	Latvia	0	2
402	Finland	Ukraine	0	12
403	Finland	Malta	5	0
404	Finland	Georgia	0	0
405	Finland	Austria	4	6
406	Finland	United Kingdom	0	0
407	Finland	Armenia	0	0
408	France	Belgium	0	4
409	France	Czech Republic	0	0
410	France	The Netherlands	7	0
411	France	Azerbaijan	0	0
412	France	Hungary	0	0
413	France	Italy	12	0
414	France	Israel	0	3
415	France	Bulgaria	10	5
416	France	Sweden	5	2
417	France	Germany	0	0
418	France	Poland	0	7
419	France	Australia	6	0
420	France	Cyprus	0	0
421	France	Serbia	0	0
422	France	Lithuania	0	0
423	France	Croatia	0	0
424	France	Russia	1	6
425	France	Spain	3	1
426	France	Latvia	0	0
427	France	Ukraine	0	10
428	France	Malta	4	0
429	France	Georgia	0	0
430	France	Austria	8	8
431	France	United Kingdom	0	0
432	France	Armenia	2	12
433	Georgia	Belgium	10	0
434	Georgia	Czech Republic	0	0
435	Georgia	The Netherlands	0	0
436	Georgia	Azerbaijan	0	7
437	Georgia	Hungary	0	2
438	Georgia	Italy	0	0
439	Georgia	Israel	3	0
440	Georgia	Bulgaria	0	3
441	Georgia	Sweden	6	0
442	Georgia	Germany	1	0
443	Georgia	France	4	0
444	Georgia	Poland	0	4
445	Georgia	Australia	8	1
446	Georgia	Cyprus	0	0
447	Georgia	Serbia	0	0
448	Georgia	Lithuania	5	5
449	Georgia	Croatia	2	0
450	Georgia	Russia	0	8
451	Georgia	Spain	0	0
452	Georgia	Latvia	7	6
453	Georgia	Ukraine	12	10
454	Georgia	Malta	0	0
455	Georgia	Austria	0	0
456	Georgia	United Kingdom	0	0
457	Georgia	Armenia	0	12
458	Germany	Belgium	5	0
459	Germany	Czech Republic	0	0
460	Germany	The Netherlands	4	3
461	Germany	Azerbaijan	0	0
462	Germany	Hungary	0	0
463	Germany	Italy	3	1
464	Germany	Israel	12	0
465	Germany	Bulgaria	0	4
466	Germany	Sweden	10	8
467	Germany	France	0	0
468	Germany	Poland	0	10
469	Germany	Australia	6	5
470	Germany	Cyprus	0	0
471	Germany	Serbia	0	0
472	Germany	Lithuania	1	0
473	Germany	Croatia	0	0
474	Germany	Russia	0	12
475	Germany	Spain	0	0
476	Germany	Latvia	2	0
477	Germany	Ukraine	7	6
478	Germany	Malta	0	0
479	Germany	Georgia	8	0
480	Germany	Austria	0	7
